Date,tsla stock,apple stock,amazon stock,xom stock,pltr stock
2023-01-01,61,58,56,5,4
2023-01-08,50,53,63,6,5
2023-01-15,39,44,55,5,4
2023-01-22,71,54,62,7,6
2023-01-29,63,74,90,8,7
2023-02-05,52,55,66,6,6
2023-02-12,50,48,53,6,13
2023-02-19,37,36,47,4,6
2023-02-26,50,37,49,4,6
2023-03-05,40,39,42,4,5
2023-03-12,35,40,49,5,5
2023-03-19,37,42,51,5,5
2023-03-26,32,38,45,5,4
2023-04-02,35,35,42,7,4
2023-04-09,33,40,46,5,6
2023-04-16,53,42,46,5,5
2023-04-23,40,40,74,6,5
2023-04-30,30,58,49,6,5
2023-05-07,31,44,48,4,15
2023-05-14,34,41,52,5,11
2023-05-21,35,41,49,4,16
2023-05-28,36,44,54,4,16
2023-06-04,55,87,59,5,21
2023-06-11,57,54,57,4,18
2023-06-18,48,40,48,3,13
2023-06-25,47,52,49,4,12
2023-07-02,47,45,43,4,9
2023-07-09,41,47,56,4,13
2023-07-16,69,51,52,4,16
2023-07-23,46,45,50,5,14
2023-07-30,41,58,72,5,24
2023-08-06,38,54,55,5,25
2023-08-13,38,42,46,4,14
2023-08-20,39,39,42,4,13
2023-08-27,37,44,45,4,13
2023-09-03,31,52,35,4,10
2023-09-10,46,67,43,5,10
2023-09-17,36,45,40,4,9
2023-09-24,31,42,46,4,11
2023-10-01,35,41,39,5,10
2023-10-08,31,37,39,7,12
2023-10-15,50,33,38,5,10
2023-10-22,40,38,57,5,10
2023-10-29,40,51,48,4,14
2023-11-05,36,42,48,4,14
2023-11-12,40,42,54,5,15
2023-11-19,29,35,42,3,13
2023-11-26,40,39,50,4,13
2023-12-03,33,41,46,5,15
2023-12-10,37,45,50,5,13
2023-12-17,35,44,47,5,12
2023-12-24,29,35,38,4,9
2023-12-31,29,44,40,4,11
2024-01-07,30,44,45,5,11
2024-01-14,34,41,39,4,10
2024-01-21,67,48,49,5,11
2024-01-28,53,59,70,5,11
2024-02-04,45,50,59,4,41
2024-02-11,41,44,52,5,25
2024-02-18,34,39,47,4,16
2024-02-25,37,44,49,4,17
2024-03-03,45,67,49,4,25
2024-03-10,45,42,44,4,18
2024-03-17,43,60,45,4,16
2024-03-24,34,41,39,4,14
2024-03-31,50,39,47,6,14
2024-04-07,40,41,49,5,13
2024-04-14,51,39,44,5,12
2024-04-21,79,41,47,5,13
2024-04-28,58,64,69,4,13
2024-05-05,35,45,45,4,31
2024-05-12,30,41,45,4,15
2024-05-19,33,39,42,4,13
2024-05-26,25,35,36,3,13
2024-06-02,28,41,42,4,15
2024-06-09,44,100,42,3,14
2024-06-16,31,52,38,3,16
2024-06-23,36,46,49,4,14
2024-06-30,58,41,46,3,14
2024-07-07,63,53,47,4,22
2024-07-14,48,54,52,5,20
2024-07-21,68,46,47,4,17
2024-07-28,40,54,63,5,14
2024-08-04,41,85,72,5,30
2024-08-11,34,44,48,5,24
2024-08-18,31,41,44,4,22
2024-08-25,30,42,41,4,17
2024-09-01,29,36,36,3,14
2024-09-08,31,54,40,4,29
2024-09-15,31,49,43,4,26
2024-09-22,38,42,43,4,26
2024-09-29,36,39,38,6,22
2024-10-06,51,36,41,5,32
2024-10-13,37,38,39,4,24
2024-10-20,66,38,39,4,22
2024-10-27,44,46,62,5,23
2024-11-03,83,49,66,6,58
2024-11-10,100,44,59,5,48
2024-11-17,65,40,53,4,44
2024-11-24,40,36,43,3,31
2024-12-01,53,44,59,4,45
2024-12-08,73,45,59,4,52
